iter	Logloss
0	0.6747313295
1	0.6580936735
2	0.6436504756
3	0.6306774468
4	0.6190908427
5	0.608603088
6	0.5992577777
7	0.5911061785
8	0.5837300765
9	0.5770677809
10	0.5710673733
11	0.5656117032
12	0.56087316
13	0.5566610059
14	0.5523959044
15	0.5489606722
16	0.5453842034
17	0.542096277
18	0.5393582268
19	0.537033259
20	0.5347024255
21	0.5326041013
22	0.5308101748
23	0.5290380412
24	0.5271085811
25	0.5254877179
26	0.5240700702
27	0.5227533598
28	0.5215400619
29	0.5203678489
30	0.5193049128
31	0.5182397267
32	0.5171183589
33	0.5161897538
34	0.5152124765
35	0.5143571401
36	0.5135436191
37	0.5126857323
38	0.5119907215
39	0.5113816442
40	0.5107256463
41	0.5101695544
42	0.5096650019
43	0.5091092479
44	0.5086451978
45	0.5080753182
46	0.5075918475
47	0.5071500853
48	0.5066885038
49	0.5063580817
50	0.5059742668
51	0.5056250868
52	0.5053262132
53	0.5049845786
54	0.5046534276
55	0.5043820878
56	0.5040425094
57	0.5037765726
58	0.5035633932
59	0.5032834741
60	0.5030049019
61	0.5027658864
62	0.5025400487
63	0.5022907892
64	0.5021269209
65	0.5019259539
66	0.501720612
67	0.5015327962
68	0.5013362353
69	0.5011643966
70	0.5009655068
71	0.5008041436
72	0.5006456982
73	0.5004766272
74	0.5003169135
75	0.5002016206
76	0.5000623336
77	0.4999503173
78	0.4997921538
79	0.4996756045
80	0.4995365907
81	0.4994041471
82	0.4992546375
83	0.4991293346
84	0.4990031638
85	0.4988602646
86	0.4987323772
87	0.4986159459
88	0.4985213481
89	0.4984038138
90	0.4982519171
91	0.4981403416
92	0.4980340071
93	0.4979053281
94	0.4978015582
95	0.4976857567
96	0.4976021214
97	0.4975290507
98	0.497440802
99	0.4973327315
100	0.4972473414
101	0.4971407357
102	0.4970500694
103	0.4969597669
104	0.496884396
105	0.4967796099
106	0.4966525852
107	0.4965722315
108	0.4964712093
109	0.4963455767
110	0.4962655302
111	0.4962041823
112	0.4961202362
113	0.496022059
114	0.4959384979
115	0.4958436453
116	0.495783797
117	0.4957207083
118	0.4956686741
119	0.4955825
120	0.4955255698
121	0.4954394345
122	0.4953710273
123	0.4952766359
124	0.4952262649
125	0.4951667273
126	0.4951005252
127	0.4950538778
128	0.4949582188
129	0.4948746496
130	0.4947819475
131	0.4946957539
132	0.4946199207
133	0.4945460903
134	0.4944573548
135	0.4944037684
136	0.4943350932
137	0.4942609396
138	0.4941709243
139	0.4941101085
140	0.4940271931
141	0.4939569183
142	0.4938826122
143	0.4938174105
144	0.4937634561
145	0.4937006239
146	0.4936574508
147	0.4935960965
148	0.4935364816
149	0.4934618378
150	0.4934130702
151	0.4933676
152	0.4933066889
153	0.493242136
154	0.4931921909
155	0.4931232571
156	0.4930458315
157	0.4929786289
158	0.4929131452
159	0.4928381017
160	0.4927996809
161	0.4927269914
162	0.4926881307
163	0.4926392876
164	0.4925888616
165	0.4925313125
166	0.4924717358
167	0.4924251163
168	0.4923681474
169	0.4923316239
170	0.4922859645
171	0.4922463014
172	0.4922067802
173	0.4921250504
174	0.4920731815
175	0.492004236
176	0.4919271381
177	0.4918909124
178	0.4918483157
179	0.4917936484
180	0.4917412864
181	0.4917018933
182	0.4916081727
183	0.4915606422
184	0.491518742
185	0.4914628589
186	0.4914229303
187	0.4913828141
188	0.4913326745
189	0.4912489833
190	0.49118159
191	0.4911118539
192	0.4910466402
193	0.4909786205
194	0.4909153771
195	0.4908344321
196	0.4907669521
197	0.4907041563
198	0.4906646367
199	0.4906055259
200	0.4905413538
201	0.4904862177
202	0.4904445825
203	0.4903844907
204	0.4903377097
205	0.4902903091
206	0.4902690532
207	0.4902301552
208	0.4901523927
209	0.4901043809
210	0.4900693459
211	0.4900299266
212	0.4899659717
213	0.4898989799
214	0.4898254305
215	0.4897800231
216	0.4897277095
217	0.4896801437
218	0.4896715475
219	0.4896258797
220	0.4895680917
221	0.489514828
222	0.4894582404
223	0.4893985019
224	0.4893608452
225	0.4893113784
226	0.4892685745
227	0.4891851974
228	0.4891097789
229	0.4890527792
230	0.4890184239
231	0.4889642703
232	0.4889034741
233	0.4888523413
234	0.4888031002
235	0.4887374777
236	0.4886854427
237	0.4886204855
238	0.4885597298
239	0.4885032197
240	0.4884307029
241	0.4884061652
242	0.488364227
243	0.4883137188
244	0.4882700085
245	0.4882074152
246	0.4881375627
247	0.4880733436
248	0.4880140811
249	0.4879627859
250	0.4878935851
251	0.487833815
252	0.4877792554
253	0.4877341137
254	0.4876523118
255	0.4875834356
256	0.4875201298
257	0.4874682289
258	0.4874006495
259	0.4873660456
260	0.4873200228
261	0.4872628851
262	0.4871994915
263	0.487170231
264	0.4871234885
265	0.4870814177
266	0.4870211564
267	0.4869701269
268	0.4869069193
269	0.4868648753
270	0.4868150793
271	0.4867580182
272	0.4866982222
273	0.4866555316
274	0.4866154447
275	0.4865680125
276	0.4865043904
277	0.4864800758
278	0.4864045669
279	0.4863626664
280	0.4863028506
