iter	Passed	Remaining
0	157	78545
1	164	40968
2	171	28441
3	178	22140
4	185	18365
5	192	15866
6	201	14156
7	207	12757
8	215	11739
9	222	10880
10	229	10200
11	237	9666
12	244	9169
13	251	8722
14	257	8330
15	264	8015
16	272	7731
17	278	7468
18	285	7235
19	292	7022
20	298	6819
21	305	6639
22	312	6486
23	319	6328
24	326	6205
25	333	6075
26	340	5960
27	347	5852
28	354	5764
29	362	5677
30	369	5591
31	376	5504
32	385	5448
33	391	5371
34	398	5292
35	404	5212
36	410	5140
37	417	5073
38	424	5013
39	430	4954
40	437	4899
41	444	4849
42	451	4800
43	459	4757
44	467	4726
45	475	4688
46	482	4654
47	489	4609
48	496	4567
49	503	4532
50	510	4492
51	516	4452
52	523	4419
53	531	4386
54	538	4353
55	545	4324
56	553	4300
57	561	4276
58	568	4248
59	575	4222
60	583	4200
61	591	4178
62	598	4151
63	605	4126
64	613	4107
65	621	4085
66	631	4083
67	638	4058
68	646	4039
69	654	4022
70	662	4004
71	670	3988
72	678	3968
73	686	3950
74	693	3930
75	700	3910
76	708	3892
77	715	3871
78	722	3851
79	730	3834
80	737	3816
81	744	3795
82	751	3774
83	757	3750
84	764	3732
85	770	3710
86	777	3690
87	784	3671
88	790	3648
89	796	3628
90	802	3607
91	809	3590
92	816	3572
93	823	3555
94	830	3540
95	837	3525
96	845	3511
97	852	3497
98	859	3482
99	866	3465
100	873	3449
101	879	3433
102	886	3418
103	894	3407
104	903	3398
105	910	3385
106	918	3372
107	925	3360
108	933	3347
109	940	3333
110	946	3318
111	953	3304
112	960	3288
113	967	3275
114	974	3261
115	981	3249
116	988	3234
117	994	3219
118	1001	3205
119	1007	3191
120	1015	3179
121	1022	3167
122	1029	3156
123	1037	3146
124	1045	3135
125	1051	3120
126	1058	3107
127	1065	3096
128	1072	3085
129	1079	3072
130	1086	3061
131	1094	3050
132	1100	3036
133	1107	3024
134	1113	3011
135	1121	3000
136	1128	2989
137	1135	2977
138	1141	2965
139	1149	2954
140	1155	2942
141	1162	2930
142	1169	2919
143	1176	2908
144	1183	2898
145	1191	2888
146	1197	2876
147	1204	2863
148	1210	2851
149	1217	2840
150	1224	2829
151	1230	2818
152	1238	2807
153	1245	2797
154	1252	2786
155	1259	2776
156	1265	2765
157	1273	2755
158	1280	2745
159	1287	2735
160	1295	2727
161	1302	2717
162	1309	2706
163	1316	2697
164	1326	2694
165	1336	2689
166	1343	2679
167	1351	2670
168	1358	2660
169	1365	2650
170	1372	2640
171	1379	2631
172	1388	2624
173	1396	2616
174	1404	2607
175	1411	2598
176	1418	2588
177	1425	2578
178	1433	2570
179	1439	2559
180	1447	2550
181	1454	2540
182	1462	2533
183	1469	2523
184	1476	2513
185	1483	2505
186	1491	2496
187	1499	2488
188	1506	2479
189	1514	2470
190	1521	2460
191	1528	2452
192	1535	2442
193	1543	2434
194	1551	2426
195	1560	2420
196	1569	2413
197	1579	2409
198	1587	2401
199	1603	2405
200	1622	2413
201	1663	2454
202	1688	2470
203	1698	2464
204	1709	2460
205	1723	2459
206	1740	2463
207	1752	2459
208	1763	2455
209	1775	2451
210	1785	2444
211	1795	2439
212	1805	2432
213	1822	2436
214	1833	2431
215	1843	2424
216	1855	2419
217	1867	2415
218	1874	2405
219	1883	2396
220	1893	2389
221	1904	2384
222	1915	2379
223	1925	2372
224	1933	2363
225	1943	2356
226	1954	2350
227	1963	2342
228	1972	2333
229	1980	2324
230	1988	2315
231	1998	2308
232	2007	2300
233	2016	2292
234	2025	2284
235	2034	2275
236	2042	2266
237	2050	2257
238	2059	2248
239	2066	2239
240	2074	2229
241	2081	2219
242	2088	2208
243	2095	2198
244	2104	2190
245	2114	2182
246	2122	2174
247	2133	2167
248	2147	2165
249	2158	2158
250	2167	2150
251	2175	2140
252	2183	2132
253	2192	2123
254	2199	2113
255	2207	2103
256	2215	2095
257	2224	2086
258	2232	2077
259	2240	2068
260	2249	2060
261	2258	2051
262	2266	2042
263	2275	2033
264	2282	2024
265	2290	2015
266	2298	2005
267	2305	1995
268	2313	1986
269	2320	1976
270	2327	1967
271	2336	1958
272	2345	1950
273	2354	1941
274	2363	1933
275	2372	1925
276	2380	1916
277	2388	1907
278	2395	1897
279	2404	1889
280	2414	1881
281	2421	1871
282	2429	1863
283	2437	1854
284	2446	1845
285	2456	1838
286	2465	1829
287	2472	1820
288	2480	1810
289	2487	1801
290	2494	1791
291	2501	1781
292	2508	1772
293	2517	1763
294	2524	1754
295	2531	1744
296	2538	1735
297	2546	1725
298	2553	1716
299	2561	1707
300	2568	1698
301	2576	1689
302	2583	1679
303	2590	1670
304	2597	1660
305	2605	1651
306	2613	1642
307	2621	1634
308	2628	1624
309	2635	1615
310	2642	1606
311	2650	1596
312	2657	1587
313	2665	1578
314	2672	1569
315	2680	1560
316	2687	1551
317	2694	1541
318	2701	1532
319	2708	1523
320	2716	1514
321	2723	1505
322	2735	1498
323	2745	1491
324	2754	1483
325	2763	1474
326	2770	1465
327	2780	1457
328	2790	1450
329	2797	1441
330	2805	1432
331	2813	1423
332	2820	1414
333	2828	1405
334	2835	1396
335	2844	1388
336	2851	1379
337	2859	1370
338	2867	1361
339	2874	1352
340	2882	1344
341	2890	1335
342	2899	1327
343	2908	1318
344	2916	1310
345	2924	1301
346	2933	1293
347	2941	1284
348	2949	1276
349	2958	1267
350	2966	1259
351	2974	1250
352	2988	1244
353	2995	1235
354	3005	1227
355	3014	1219
356	3022	1210
357	3030	1202
358	3038	1193
359	3047	1185
360	3055	1176
361	3062	1167
362	3069	1158
363	3079	1150
364	3086	1141
365	3094	1132
366	3101	1123
367	3109	1115
368	3117	1106
369	3126	1098
370	3134	1089
371	3143	1081
372	3150	1072
373	3157	1063
374	3165	1055
375	3174	1046
376	3182	1038
377	3189	1029
378	3198	1021
379	3206	1012
380	3214	1003
381	3220	994
382	3228	986
383	3249	981
384	3261	974
385	3274	967
386	3284	958
387	3294	951
388	3304	942
389	3313	934
390	3323	926
391	3331	917
392	3338	909
393	3346	900
394	3353	891
395	3361	882
396	3369	874
397	3378	865
398	3386	857
399	3394	848
400	3403	840
401	3411	831
402	3422	823
403	3432	815
404	3440	807
405	3448	798
406	3463	791
407	3471	782
408	3482	774
409	3489	765
410	3497	757
411	3506	748
412	3515	740
413	3523	731
414	3530	723
415	3539	714
416	3549	706
417	3559	698
418	3568	689
419	3575	681
420	3582	672
421	3590	663
422	3597	654
423	3605	646
424	3613	637
425	3621	629
426	3628	620
427	3637	611
428	3645	603
429	3653	594
430	3660	586
431	3668	577
432	3676	568
433	3683	560
434	3691	551
435	3698	542
436	3705	534
437	3712	525
438	3720	516
439	3727	508
440	3734	499
441	3742	491
442	3750	482
443	3758	473
444	3765	465
445	3772	456
446	3779	448
447	3786	439
448	3792	430
449	3800	422
450	3807	413
451	3815	405
452	3822	396
453	3829	388
454	3837	379
455	3845	371
456	3853	362
457	3860	354
458	3869	345
459	3878	337
460	3885	328
461	3893	320
462	3901	311
463	3909	303
464	3916	294
465	3924	286
466	3931	277
467	3941	269
468	3949	261
469	3957	252
470	3970	244
471	3980	236
472	3990	227
473	3998	219
474	4006	210
475	4014	202
476	4022	193
477	4030	185
478	4037	177
479	4044	168
480	4051	160
481	4058	151
482	4065	143
483	4073	134
484	4080	126
485	4087	117
486	4094	109
487	4102	100
488	4109	92
489	4116	84
490	4124	75
491	4131	67
492	4138	58
493	4146	50
494	4153	41
495	4161	33
496	4169	25
497	4177	16
498	4184	8
499	4192	0
